Time,T_1_1,T_1_2,T_1_3,T_1_4,T_1_5,T_2_1,T_2_2,T_2_3,T_2_4,T_2_5,T_3_1,T_3_2,T_3_3,T_3_4,T_3_5,T_4_1,T_4_2,T_4_3,T_4_4,T_4_5,T_5_1,T_5_2,T_5_3,T_5_4,T_5_5,T_top,T_bot,T_N,T_S,T_E,T_W
6/20/2024 2:09:11 PM,24.317816,23.986852,23.508206,23.393975,23.346714,24.346893,24.131863,23.826899,23.581134,23.342355,24.140338,23.933006,23.682711,23.379292,23.043997,-56553.732945,23.911902,23.759717,23.532266,23.294379,23.175965,24.177879,23.778285,23.511166,23.281759,23.082773,24.165740,23.277399,23.352658,23.148652,23.892653,23.321225
6/20/2024 2:09:41 PM,24.181519,23.989556,23.788117,23.487977,23.372593,24.335858,24.205337,23.860315,23.530636,23.362269,24.177167,23.961144,23.740896,23.384294,23.067139,-56558.487931,23.945284,23.828407,23.582873,23.382867,23.223168,24.139784,23.846972,23.608097,23.375526,23.113000,24.177575,23.291552,23.374149,23.161890,24.078167,23.335146
6/20/2024 2:10:11 PM,24.296862,24.038513,23.879952,23.541802,23.441113,24.257249,24.193814,23.949845,23.695662,23.389269,24.202517,24.049280,23.762601,23.352103,23.101271,-56563.630632,23.956797,23.847487,23.667082,23.448761,23.267056,24.187022,23.987730,23.682214,23.416417,23.156668,24.181984,23.306523,23.388659,23.183981,24.094488,23.357458
6/20/2024 2:10:41 PM,24.376471,24.141070,24.122975,23.622684,23.488067,24.294964,24.190541,24.026533,23.704306,23.424071,24.266570,24.080139,23.891114,23.419483,23.115665,-56569.266065,23.993552,23.859270,23.693313,23.478903,23.295374,24.162381,23.881958,23.713029,23.446332,23.209779,24.208415,23.327726,23.420870,23.190731,24.019212,23.358470
6/20/2024 2:11:11 PM,24.442203,24.117969,23.771278,23.533741,23.614003,24.426179,24.270038,24.039395,23.694940,23.438097,24.210957,24.048788,23.885418,23.527549,23.164818,-56576.741446,24.006085,23.891744,23.763852,23.501542,23.321233,24.226439,23.985006,23.837429,23.490074,23.257444,24.205828,23.332247,23.432730,23.202137,24.081915,23.372167
6/20/2024 2:11:41 PM,24.483549,24.150869,23.953852,23.703110,23.590073,24.351238,24.227134,24.071843,23.759734,23.476320,24.311629,24.069094,23.876856,23.578148,23.192965,-56580.752981,24.013214,23.910792,23.799179,23.552712,23.357052,24.202878,23.952497,23.786572,23.475651,23.254947,24.213183,23.352235,23.449732,23.215475,24.179975,23.385271
6/20/2024 2:12:11 PM,24.451064,24.238601,24.119964,23.743017,23.762502,24.452666,24.286917,24.141266,23.787487,23.565782,24.275926,24.104846,23.833786,23.601097,23.203080,-56588.176988,24.101671,23.899592,23.830380,23.555264,23.371535,24.187792,24.000872,23.843215,23.585764,23.282513,24.215274,23.360523,23.471781,23.227438,24.023553,23.387595
6/20/2024 2:12:41 PM,24.536216,24.177464,24.037965,23.690299,23.571296,24.409413,24.323333,24.093403,23.898196,23.585972,24.347144,24.130740,23.950901,23.686401,23.238203,-56593.241204,24.132101,23.980216,23.889474,23.660938,23.427016,24.373916,24.161876,23.803528,23.593755,23.329744,24.255772,23.382283,23.500646,23.256318,24.311871,23.399030
6/20/2024 2:13:11 PM,24.534428,24.322002,24.078098,23.856987,23.696532,24.398468,24.352223,24.073975,23.828339,23.615596,24.505133,24.129637,23.917946,23.683922,23.262111,-56598.558535,24.168204,23.971882,23.897180,23.653746,23.451705,24.355058,24.017705,23.835302,23.633339,23.375545,24.247901,23.396421,23.502854,23.258298,24.252252,23.397797
6/20/2024 2:13:41 PM,24.736416,24.472813,24.067282,23.797347,23.741187,24.514468,24.338209,24.160280,23.973349,23.626094,24.391780,24.146538,23.999698,23.702902,23.275601,-56605.232982,24.181946,24.001897,23.923992,23.678049,23.473496,24.367879,24.079789,23.849054,23.697307,23.382657,24.273548,23.417985,23.527165,23.270460,24.003501,23.413626
6/20/2024 2:14:11 PM,24.655638,24.329261,24.045500,23.804434,23.765925,24.574866,24.391761,24.149726,23.855086,23.612547,24.479660,24.163010,24.077114,23.789764,23.308395,-56610.046470,24.206791,24.044621,23.961682,23.690769,23.476588,24.376689,24.146556,23.923415,23.642621,23.408461,24.275948,23.418555,23.538514,23.278143,24.295869,23.410526
6/20/2024 2:14:41 PM,24.576183,24.325541,24.121955,23.821110,23.779164,24.556960,24.420091,24.237614,23.962047,23.652388,24.450764,24.164099,23.925385,23.600108,23.317057,-56613.967327,24.225320,24.092707,24.035895,23.770297,23.530237,24.411236,24.149742,23.958454,23.734078,23.450648,24.293330,23.448584,23.562573,23.318966,26.639531,23.432986
6/20/2024 2:15:11 PM,24.667106,24.278229,24.144256,24.032011,23.903469,24.462750,24.326312,24.270443,24.018953,23.793689,24.358823,24.230140,24.016891,23.790021,23.457082,-56621.114225,24.150278,24.077208,23.989234,23.896432,23.681197,24.315846,24.142261,24.057507,23.966322,23.615393,24.295697,23.467471,23.585124,23.336022,26.203540,23.460360
6/20/2024 2:15:41 PM,24.570067,24.281184,24.091781,24.014349,24.031990,24.294465,24.311637,24.286222,24.152252,23.917656,24.371851,24.242485,24.009080,23.872281,23.488255,-56626.469178,24.219537,24.095169,24.020945,23.976497,23.784451,24.401563,24.195949,24.105935,23.863295,23.706968,24.314108,23.504492,23.620072,23.356994,26.026403,23.495088
6/20/2024 2:16:11 PM,24.410750,24.160250,24.088327,23.976985,24.059234,24.344818,24.206742,24.157731,24.040449,24.039761,24.364736,24.193688,24.082829,24.009978,23.842240,-56631.677663,24.200662,24.125310,24.031846,23.936990,23.775644,24.347440,24.164934,24.110650,23.967236,23.785501,24.300732,23.516093,23.624104,23.354833,25.937097,23.492011
6/20/2024 2:16:41 PM,24.523224,24.165379,24.035498,24.045808,24.077650,24.370091,24.337352,24.250343,24.195839,23.982574,24.300490,24.049702,23.943163,23.953933,23.744456,-56634.942593,24.224986,24.130169,24.052285,23.970264,23.806179,24.259565,24.140247,24.002799,23.872416,23.827266,24.309482,23.542745,23.641808,23.415676,25.866632,23.505592
6/20/2024 2:17:11 PM,24.292442,24.068454,23.839546,23.649737,23.737316,24.293587,24.232905,24.169239,24.079679,23.973375,24.046003,23.942213,23.802416,23.749694,23.658221,-56640.394294,24.185088,24.063460,24.050173,23.927135,23.813464,24.077434,23.950050,23.845780,23.616765,23.644280,24.305539,23.567234,23.621580,23.416544,25.728720,23.523431
6/20/2024 2:17:41 PM,23.988874,23.779642,23.529725,23.278069,23.344609,23.986354,23.917842,23.846799,23.753281,23.719353,24.055544,23.832818,23.570087,23.520551,23.397376,-56642.786737,24.102008,23.957446,23.906805,23.797712,23.716564,23.981963,23.825446,23.691346,23.512715,23.469825,24.293239,23.580140,23.588624,23.427160,25.659838,23.531063
