Time,T_1_1,T_1_2,T_1_3,T_1_4,T_1_5,T_2_1,T_2_2,T_2_3,T_2_4,T_2_5,T_3_1,T_3_2,T_3_3,T_3_4,T_3_5,T_4_1,T_4_2,T_4_3,T_4_4,T_4_5,T_5_1,T_5_2,T_5_3,T_5_4,T_5_5,T_top,T_bot,T_N,T_S,T_E,T_W
6/20/2024 1:50:35 PM,24.281189,23.945388,23.827595,23.613705,23.622189,24.150195,24.043908,23.888786,23.715733,23.585729,24.165541,23.899328,23.713440,23.525186,23.245073,-56384.234694,23.951616,23.808154,23.689868,23.539905,23.380489,24.068691,23.885391,23.700185,23.545180,23.364659,24.097096,23.491054,23.459172,23.248557,23.624982,23.393336
6/20/2024 1:51:04 PM,24.269583,24.011448,23.837752,23.649317,23.632350,24.143167,24.069180,23.944314,23.735062,23.597496,24.185997,23.935378,23.746065,23.586260,23.274518,-56391.110360,23.992186,23.826504,23.723812,23.566522,23.408032,24.127804,23.954838,23.725876,23.556432,23.386927,24.107647,23.501848,23.482582,23.267388,23.638066,23.401380
6/20/2024 1:51:34 PM,24.273888,24.005445,23.856499,23.683434,23.644457,24.153657,24.130524,23.997197,23.794845,23.631387,24.193280,23.923416,23.778112,23.580481,23.276079,-56400.559000,24.023167,23.857955,23.722030,23.589047,23.417260,24.124878,23.890727,23.729824,23.581709,23.411066,24.123045,23.515890,23.489973,23.280519,23.650957,23.408313
6/20/2024 1:52:04 PM,24.319894,24.000616,23.827145,23.727204,23.658655,24.168298,24.169672,23.944938,23.800328,23.621510,24.188453,23.956854,23.792535,23.642605,23.297401,-56408.054269,24.100803,23.855181,23.759372,23.590399,23.438799,24.097596,23.984195,23.778857,23.618604,23.417007,24.141804,23.539489,23.516325,23.290133,23.664920,23.427330
6/20/2024 1:52:34 PM,24.312605,24.037082,23.903500,23.713488,23.680703,24.184368,24.147494,23.984616,23.781342,23.627510,24.206583,23.982325,23.790740,23.647917,23.312354,-56417.180012,24.094501,23.894940,23.775988,23.614129,23.448315,24.134357,23.978120,23.801890,23.610690,23.437993,24.142145,23.546022,23.541435,23.307913,23.680163,23.440516
6/20/2024 1:53:04 PM,24.375357,24.078338,23.934914,23.714654,23.681870,24.153927,24.167440,24.044662,23.813222,23.659630,24.216909,24.008693,23.813451,23.668342,23.332565,-56425.861809,24.098036,23.922996,23.769211,23.628445,23.474334,24.158506,23.982801,23.827201,23.665130,23.465159,24.155070,23.557587,23.539700,23.316731,23.705023,23.455296
6/20/2024 1:53:34 PM,24.232580,23.874743,23.681280,23.549203,23.652391,24.099511,24.053695,23.919660,23.770687,23.672109,24.200976,23.864430,23.742033,23.600341,23.420071,-56434.365359,24.112141,23.959791,23.776449,23.629265,23.493733,24.156576,23.939627,23.668243,23.567122,23.521255,24.190244,23.597851,23.536850,23.311815,23.713638,23.466438
